section_name,filename,human_ann4
U.S.,20inaug-howtowatch-kmqc-articleLarge.jpg,'The swearing-in ceremony took place inside the Capitol Rotunda.'
U.S.,pol-ironrange-video-promo-articleLarge.jpg,''
U.S.,00dc-scotus-pjfl-articleLarge.jpg,"'Bundles of humanitarian aid donated by the U.S. Agency for International Development in Colombia in 2019. The current freeze by the Trump administration means medical supplies, food, and other aid is stuck in warehouses around the world. '"
U.S.,15dc-trump-capitulate-fmtb-articleLarge.jpg,"'President Trump has succeeded in wrenching enormous concessions through threats, lawsuits and coercion.'"
U.S.,31dc-trump-asdw-articleLarge.jpg,'President-elect Donald J. Trump and Melania Trump arrived at a New Year? Eve event at Mar-a-Lago on Tuesday.'
U.S.,24dc-prexy-bfgp-articleLarge-v2.jpg,"'? thought he was straight up with me,??Steve Witkoff, an envoy for President Trump, said of Russia? president, Vladimir V. Putin, during a recent interview with Tucker Carlson.'"
U.S.,28dc-assess1-plhw-articleLarge.jpg,'President Trump during his combative meeting in the Oval Office with President Volodymyr Zelensky of Ukraine on Friday.'
U.S.,22trump-news-janet-mills-qtpz-articleLarge.jpg,'Gov. Janet Mills told President Trump on Friday that she would not accede to his executive order banning transgender athletes in women? sports.'
U.S.,2025-02-25-boomerang-firings-index-articleLarge-v13.png,''
U.S.,27dc-patel1-vfgq-articleLarge.jpg,"'Kash Patel was sworn in as the director of the F.B.I. this month. Reactions to his videoconference call with top agents and others this week were mixed, according to people familiar with the details of the call.'"
U.S.,09trump-news-security-clearance-mfkg-articleLarge.jpg,'Secretary of State Antony J. Blinken in January. President Trump said he would revoke his security clearance.'
U.S.,22dc-trump-emboldened-articleLarge.jpg,"'On the first day of Mr. Trump? second presidency, he decreed that every Jan. 6 rioter would get a reprieve.'"
U.S.,28dc-gabbard01a-photo-fmvw-articleLarge.jpg,'Former Representative Tulsi Gabbard at the Capitol in December for meetings with senators. Her confirmation hearing is scheduled for Thursday.'
U.S.,xxjan6-history-top-glbc-articleLarge.jpg,"'Rioters on the steps of the Capitol, where President-elect Donald J. Trump will take his oath of office.'"
U.S.,dc-pardons20-articleLarge.jpg,'Greg E. Lindberg is seeking clemency after being convicted in an insurance bribery scheme in North Carolina.'
U.S.,17trump-news-pence-inauguration1-hgfp-articleLarge.jpg,'Former Vice President Mike Pence greeting Donald Trump at the funeral for former President Jimmy Carter at Washington National Cathedral last week.'
U.S.,00dc-bessent-gvmc-articleLarge.jpg,'Treasury Secretary Scott Bessent discussing President Trump? 90-day pause on ?eciprocal??global tariffs on Wednesday.'
U.S.,21trump-news-migrant-parole1-kmfw-articleLarge.jpg,'Venezuelan migrants who were sent back home from Mexico on Thursday.'
U.S.,06xp-soldiers-wthf-articleLarge.jpg,"'Two Army soldiers stationed at Joint Base Lewis-McChord near Tacoma, Wash., were arrested, as was a former soldier who served in the Army from 2013 to 2017, the Justice Department said.'"
U.S.,10dc-memo-topart-cgtz-articleLarge.jpg,"'In a television interview over the weekend, President Trump refused to rule out a recession, a striking change in tone and message for him.'"
U.S.,11trump-news-tesla-event-hjqp-articleLarge.jpg,"'President Trump with Elon Musk, looking at a new Tesla vehicle on the South Grounds of the White House, on Tuesday.'"
U.S.,30trump-news-auto-prices-vwmp-articleLarge.jpg,"'The Ford Assembly Plant in Wayne, Mich., in 2023.'"
U.S.,02dc-unfairtrade-mwvk-articleLarge.jpg,"'President Trump has lumped in friendly allies, which have relatively few barriers to U.S. exports, with nations that have extensive trade barriers.'"
U.S.,13DC-POWERS-mbfj-articleLarge.jpg,''
U.S.,30nat-skaters-03-vhgt-articleLarge.jpg,"'The Wichita Ice Center on Thursday. A special training session for up-and-coming skaters concluded at the Kansas facility on Wednesday, hours before the plane crash.'"
U.S.,10DC-GABBARD-cmtk-articleLarge.jpg,'Tulsi Gabbard during a Senate confirmation hearing in Washington last month.'
U.S.,13dc-ai-rule-01-mthw-articleLarge.jpg,'A goal of the new rules is to keep the most advanced A.I. models within the borders of the United States and its partners.'
U.S.,12trump-news-header-wzbg-articleLarge.jpg,'A protest against the dismantling of the Education Department at its headquarters in Washington in March.'
U.S.,13trump-news-trump-tower-wbcf-articleLarge.jpg,"'Nearly 100 demonstrators were arrested at the protest, which took place Thursday inside Trump Tower in Manhattan.'"
U.S.,15dc-courts-01-phtb-articleLarge.jpg,'The Trump administration has responded contentiously to orders from the Supreme Court and lower courts alike.'
U.S.,15scotus-tiktok-arguments-VERSION-fkqb-articleLarge.jpg,'Several justices seemed troubled by the possibility that China could use data culled from the TikTok app for espionage.'
U.S.,11nat-trans-language-healthcare-mfwv-articleLarge.jpg,"'A protest on Sunday outside Seattle Children? Hospital, which postponed some gender-affirming surgeries for minors after an executive order by Mr. Trump.'"
U.S.,20dc-econ-pgjq-articleLarge.jpg,'Consumer prices are now more than 20 percent higher than when President-elect Donald J. Trump left office.'
U.S.,17nat-dei-k12-01-vzlj-articleLarge.jpg,'Public schools in the United States receive only about 10 percent of their funding from the federal government.'
U.S.,09dc-prexy-topart-wckb-articleLarge.jpg,"'Steve Witkoff, the president? friend and fellow New York real estate developer, reportedly will lead the American side of the negotiations. Mr. Witkoff has no known background in the complex technology of nuclear fuel enrichment, or the many steps to nuclear bomb making.'"
U.S.,06dc-trumo-topart-mqtv-articleLarge.jpg,"'In its suit, Perkins Coie said that the implications for the executive order President Trump signed were ?n affront to the Constitution and our adversarial system of justice.??"
U.S.,23dc-trump-press-hbvw-articleLarge.jpg,'President Trump sees the ability to capture the attention of reporters at a moment? notice as one of the best parts of the gig.'
U.S.,30gabbard-takeaways-qvbj-articleLarge.jpg,'Tulsi Gabbard has transformed herself into one of President Trump? fiercest foreign policy defenders.'
U.S.,25dc-hegseth-jvlw-articleLarge.jpg,"'Defense Secretary Pete Hegseth has experienced some expected challenges in his high-profile role, but he has also stumbled trying to get ahead of his boss, President Trump.'"
U.S.,12dc-trump-topart-jmfl-articleLarge.jpg,"'President Trump has acknowledged in recent days that the United States may be headed into a recession, even as he doubles down on imposing tariffs on Canada, Mexico, China and the European Union.'"
U.S.,01DC-SILENCE-wzch-cover-articleLarge.jpg,''
U.S.,08dc-assess-01-khfv-articleLarge.jpg,'President Trump has appeared mostly unmoved as the knock-on effects of his administration? moves take shape.'
U.S.,15scotus-tiktok-china-law-lkgh-articleLarge.jpg,"'Shou Chew, the chief executive of TikTok, testified before Congress in 2023 about the app? ties to China.'"
U.S.,10dc-rubio-topart-hqwt-articleLarge.jpg,'Secretary of State Marco Rubio has endured criticism for appearing to have surrendered longtime principles on such matters as his backing for robust U.S. foreign aid and his staunch support for Ukraine? defense against Russian aggression.'
U.S.,30dc-fed-01-hkqt-articleLarge.jpg,'The volume of trade policy proposals is making the Federal Reserve? already tricky job even more difficult as it seeks to finish off its yearslong effort to extinguish high inflation.'
U.S.,20dc-prexy-topart-fwhb-articleLarge.jpg,"'President Trump on Sunday in West Palm Beach, Fla. This week, he falsely accused Ukraine of provoking Russia? invasion of its territory, reversing three years of NATO unity on that war.'"
U.S.,04dc-trump-iran-wvkl-articleLarge.jpg,'It is not clear what form President Trump? pressure campaign might take.'
U.S.,DC-JOHNSON-UKRAINE-wqfh-articleLarge.jpg,"'Speaker Mike Johnson engaged in highly secretive talks with top Biden administration officials to salvage aid to Ukraine last year. Now, he is siding with President Trump as he blames those same officials for causing the war.'"
U.S.,04dc-trump-01-jhgk-articleLarge.jpg,'President Trump delivered a contentious speech to Congress on Tuesday.'
U.S.,dc-immig1-cvjf-articleLarge.jpg,"'The Trump administration has made an effort to systematically deport foreign students who have expressed pro-Palestinian views, beginning in March with the detention of Mahmoud Khalil, a former Columbia University graduate student.'"
World,11ukraine-casualties-01-ftbq-articleLarge.jpg,"'A memorial park in Kursk, Russia, for soldiers killed in World War II is now also used for burials of soldiers killed in the war in Ukraine.'"
World,00russia-kursk-01-qhkj-articleLarge.jpg,"'A Ukrainian military vehicle driving in the country? Sumy region, near the border with the Kursk region of Russia, in January.'"
World,01russia-putin-01-bgvm-articleLarge.jpg,"'President Vladimir V. Putin of Russia in Moscow this week, in a photograph released by Russian state media. One analyst said that given the spat between Washington and Kyiv, ?ussia will be willing to keep fighting for longer, and more bitterly.??"
World,31norway-ship-zmgh-articleLarge.jpg,'Crew members on a French Navy plane patrolling over the Baltic Sea last week as part of a NATO mission to protect undersea cables and pipelines.'
World,12int-ukraine-europe-01-qbck-articleLarge.jpg,'President Volodymyr Zelensky of Ukraine has offered repeated expressions of gratitude to President Trump in the days since their angry Oval Office meeting.'
World,00musk-mother-01-lhjk-articleLarge.jpg,"'Maye Musk at a forum on women in Almaty, Kazakhstan, in October.'"
World,00int-nepal-drones-01-mbgf-articleLarge.jpg,"'A Sherpa in Nepal? Everest region, with Mount Kongde in the background. More guides have died in accidents on Mount Everest as snowmelt has accelerated.'"
World,europe-ukraine-01-jbcg-articleLarge.jpg,"'Prime Minister Keir Starmer of Britain, front center, presented the coalition as one of multiple steps that included continued military aid.'"
World,15int-ukraine-sumy-02-wgkm-articleLarge.jpg,''
World,07ukraine-satellite2-gjtq-articleLarge.jpg,"'Satellite imagery from Maxar Technologies, which has shared its work with Ukraine under a Pentagon program, shows an ammunition depot in Toropets, Russia, before and after a Ukrainian drone attack last year.'"
World,28myanmar-ledeall-1-ckqp-articleLarge.jpg,"'A collapsed building in Mandalay, Myanmar? second-largest city, just a few miles from the earthquake? epicenter, on Friday.'"
World,03europe-defense-jzhb-articleLarge.jpg,"'German soldiers unloading a U.S.-made surface-to-air missile system last month in Jasionka, Poland.'"
World,21ukraine-nkorea-03-hljt-articleLarge.jpg,"'Russian soldiers at an artillery position in the Kursk region, in December. Even before it sent troops, North Korea was supplying Russia with millions of artillery shells.'"
World,15int-serbia-protest-01-hwgf-articleLarge.jpg,"'Protesters in Belgrade burned flares as thousands of people from all over Serbia took part in the largest protest to date against the country? president, Aleksandar Vucic, on Saturday.'"
World,17russia-navalny-fgpq-articleLarge.jpg,"'From left, the lawyers Igor Sergunin, Aleksei Liptser and Vadim Kobzev in a defendants??cage in a hearing in Petushki, Russia, on Friday.'"
World,21ukraine-trump-01-mvck-articleLarge.jpg,"'A truck bringing partly-refined titanium ore to a factory for further refining at a mine east of Kyiv in June. In addition to titanium, Ukraine has large reserves of graphite and lithium.'"
World,24ukraine-deal-1-qwlv-articleLarge.jpg,"'In Kostiantynivka, an industrial city in eastern Ukraine, on Monday. The city has been under heavy bombardment from Russian forces.'"
World,24Germany-Merz-vwfc-articleLarge.jpg,'Friedrich Merz speaking in Berlin on Monday.'
World,24putin-anniversary-hvgm-articleLarge.jpg,'Ukrainian soldiers firing at Russian targets from the front line this month. President Vladimir V. Putin dug in on the battlefield to wait out Western resolve in a longer and more onerous conflict than Moscow had expected.'
